,Seller Name,Seller type,BHK,Location,City,Total Price,price per sqft,Area_sqft,Construction status
1143,seller,VERIFIED OWNER,Residential Plot,Ghatkesar,Hyderabad, 25.24 L,"1,402 ",1800 ,Resale
1144,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.48 Cr,"9,100 ",1636 ,Under Construction
1145,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.36 Cr,"9,100 ",1502 ,Under Construction
1146,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.49 Cr,"9,100 ",1646 ,Under Construction
1147,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.77 Cr,"9,100 ",1950 ,Under Construction
1148,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.53 Cr,"9,100 ",1686 ,Under Construction
1149,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.71 Cr,"9,100 ",1887 ,Under Construction
1150,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.72 Cr,"9,100 ",1893 ,Under Construction
1151,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.36 Cr,"9,100 ",1497 ,Under Construction
1152,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.72 Cr,"9,100 ",1891 ,Under Construction
1153,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.36 Cr,"9,100 ",1498 ,Under Construction
1154,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.44 Cr,"9,100 ",1585 ,Under Construction
1155,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.68 Cr,"9,100 ",1857 ,Under Construction
1156,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.69 Cr,"9,100 ",1864 ,Under Construction
1157,M Kartheek,AGENT,3 BHK Apartment,Serilingampally,Hyderabad, 1.51 Cr,"9,100 ",1663 ,Under Construction
1158,Dial To Property,AGENT,3 BHK Villa,Pasumamula,Hyderabad, 1.7 Cr,"6,500 ",2627 ,Under Construction
1159,Satheesh,AGENT,3 BHK Apartment,Miyapur,Hyderabad, 62 L,"3,753 ",1652 ,Under Construction
1160,Satheesh,AGENT,3 BHK Apartment,Miyapur,Hyderabad, 61 L,"3,692 ",1652 ,Under Construction
1161,Satheesh,AGENT,3 BHK Apartment,Chandanagar,Hyderabad, 68 L,"4,121 ",1650 ,Under Construction
1162,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 63.22 L,"4,500 ",1405 ,Under Construction
1163,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 63.22 L,"4,500 ",1405 ,Under Construction
1164,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 70.87 L,"4,500 ",1575 ,Under Construction
1165,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 70.87 L,"4,500 ",1575 ,Under Construction
1166,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 67.95 L,"4,500 ",1510 ,Under Construction
1167,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 67.95 L,"4,500 ",1510 ,Under Construction
1168,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 55.8 L,"4,500 ",1240 ,Under Construction
1169,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 55.8 L,"4,500 ",1240 ,Under Construction
1170,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 63.67 L,"4,500 ",1415 ,Under Construction
1171,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 63.67 L,"4,500 ",1415 ,Under Construction
1172,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 75.6 L,"4,500 ",1680 ,Under Construction
1173,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 75.6 L,"4,500 ",1680 ,Under Construction
1174,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 62.55 L,"4,500 ",1390 ,Under Construction
1175,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 62.55 L,"4,500 ",1390 ,Under Construction
1176,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 64.12 L,"4,500 ",1425 ,Under Construction
1177,Urbanyards,AGENT,3 BHK Apartment,Tukkuguda,Hyderabad, 64.12 L,"4,500 ",1425 ,Under Construction
1178,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 57.15 L,"4,500 ",1270 ,Under Construction
1179,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 57.15 L,"4,500 ",1270 ,Under Construction
1180,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 58.5 L,"4,500 ",1300 ,Under Construction
1181,Urbanyards,AGENT,2 BHK Apartment,Tukkuguda,Hyderabad, 58.5 L,"4,500 ",1300 ,Under Construction
1182,Satheesh,AGENT,3 BHK Apartment,Miyapur,Hyderabad, 60 L,"3,636 ",1650 ,Under Construction
1183,Propbuynsell,AGENT,3 BHK Apartment,Pocharam,Hyderabad, 86.15 L,"4,700 ",1833 ,Under Construction
1184,Propbuynsell,AGENT,3 BHK Apartment,Pocharam,Hyderabad, 91.27 L,"4,700 ",1942 ,Under Construction
1185,Propbuynsell,AGENT,3 BHK Apartment,Pocharam,Hyderabad, 86.15 L,"4,700 ",1833 ,Under Construction
1186,Propbuynsell,AGENT,3 BHK Apartment,Pocharam,Hyderabad, 91.27 L,"4,700 ",1942 ,Under Construction
1187,Propbuynsell,AGENT,2 BHK Apartment,Pocharam,Hyderabad, 63.82 L,"4,700 ",1358 ,Under Construction
1188,Propbuynsell,AGENT,2 BHK Apartment,Pocharam,Hyderabad, 63.82 L,"4,700 ",1358 ,Under Construction
