,Seller Name,Seller type,BHK,Location,City,Total Price,price per sqft,Area_sqft,Construction status
8690,PropertyPistol Realty Pvt Ltd,AGENT,2 BHK Apartment,Vashi,Mumbai, 1.8 Cr,"16,513 ",1090 ,Ready to move
8691,PropertyPistol Realty Pvt Ltd,AGENT,2 BHK Apartment,Seawoods,Mumbai, 2 Cr,"15,686 ",1275 ,Ready to move
8692,PropertyPistol Realty Pvt Ltd,AGENT,1 BHK Apartment,Kharghar,Mumbai, 60 L,"8,000 ",750 ,Ready to move
8693,PropertyPistol Realty Pvt Ltd,AGENT,1 BHK Apartment,Thane West,Mumbai, 1.05 Cr,"14,583 ",720 ,Ready to move
8694,PropertyPistol Realty Pvt Ltd,AGENT,2 BHK Apartment,Ulwe,Mumbai, 1.05 Cr,"9,130 ",1150 ,Ready to move
8695,Om Sai Siddhi Properties,AGENT,3 BHK Villa,Palava,Mumbai, 1.41 Cr,"5,640 ",2500 ,Under Construction
8696,Om Sai Siddhi Properties,AGENT,1 BHK Apartment,Dombivali,Mumbai, 33 L,"4,761 ",693 ,Ready to move
8697,Prime property,AGENT,1 BHK Apartment,Thane West,Mumbai, 54 L,"8,307 ",650 ,Ready to move
8698,Prime property,AGENT,1 BHK Apartment,Thane West,Mumbai, 53 L,"8,153 ",650 ,Ready to move
8699,JP Associates,AGENT,4 BHK Apartment,Mira Road East,Mumbai, 97.02 L,"8,764 ",1107 ,Ready to move
8700,Khalsa Propera,AGENT,3 BHK Apartment,Kharghar,Mumbai, 1.76 Cr,"10,057 ",1750 ,Ready to move
8701,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 50 L,"6,993 ",715 ,Ready to move
8702,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 68.5 L,"6,989 ",980 ,Ready to move
8703,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 56 L,"7,000 ",800 ,Ready to move
8704,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 36 L,"6,000 ",600 ,Ready to move
8705,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 1.15 Cr,"11,979 ",960 ,Ready to move
8706,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 80 L,"8,163 ",980 ,Ready to move
8707,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 48 L,"7,631 ",629 ,Ready to move
8708,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 82 L,"7,627 ",1075 ,Ready to move
8709,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 51.99 L,"6,059 ",858 ,Ready to move
8710,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 41 L,"7,454 ",550 ,Ready to move
8711,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 69 L,"7,293 ",946 ,Ready to move
8712,Property Market,AGENT,2 BHK Apartment,Mira Road East,Mumbai, 94.58 L,"8,677 ",1090 ,Under Construction
8713,Property Market,AGENT,1 BHK Apartment,Mira Road East,Mumbai, 65.5 L,"9,199 ",712 ,Under Construction
8714,Unorex,AGENT,1 BHK Apartment,Dombivali,Mumbai, 39.1 L,"5,844 ",669 ,Ready to move
8715,Property Market,AGENT,1 BHK Apartment,Mira Road East,Mumbai, 65.25 L,"9,127 ",715 ,Ready to move
8716,Property Market,AGENT,4 BHK Apartment,Mira Road East,Mumbai, 95.64 L,"8,897 ",1075 ,Ready to move
8717,Siddhivinayak Estate Consultancy,AGENT,3 BHK Apartment,Sion,Mumbai, 2.25 Cr,"15,570 ",1445 ,Under Construction
8718,Siddhivinayak Estate Consultancy,AGENT,1 BHK Apartment,Kurla East,Mumbai, 1.15 Cr,"19,166 ",600 ,Ready to move
8719,Siddhivinayak Estate Consultancy,AGENT,3 BHK Apartment,Sion,Mumbai, 2.8 Cr,"18,666 ",1500 ,Under Construction
8720,Siddhivinayak Estate Consultancy,AGENT,3 BHK Apartment,Sion,Mumbai, 2.25 Cr,"15,570 ",1445 ,Under Construction
8721,Siddhivinayak Estate Consultancy,AGENT,1 BHK Apartment,Kurla East,Mumbai, 1.15 Cr,"19,166 ",600 ,Ready to move
8722,Siddhivinayak Estate Consultancy,AGENT,1 BHK Apartment,Sion,Mumbai, 1.25 Cr,"17,170 ",728 ,Under Construction
8723,Shree Homes Enterprises,AGENT,2 BHK Apartment,Vichumbe,Mumbai, 62 L,"6,526 ",950 ,Ready to move
8724,Shree Homes Enterprises,AGENT,1 BHK Apartment,Adaigaon,Mumbai, 36 L,"5,538 ",650 ,Ready to move
8725,Shree Homes Enterprises,AGENT,1 BHK Apartment,Adaigaon,Mumbai, 35 L,"5,384 ",650 ,Ready to move
8726,Shree Vighnesh Properties,AGENT,1 BHK Apartment,Thane West,Mumbai, 60 L,"11,214 ",535 ,Ready to move
8727,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 62 L,"5,904 ",1050 ,Ready to move
8728,Property Zone,AGENT,3 BHK Apartment,vile parle west,Mumbai, 5 Cr,"43,478 ",1150 ,Ready to move
8729,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 33 L,"5,641 ",585 ,Ready to move
8730,DSP Properties,AGENT,3 BHK Apartment,Kalyan West,Mumbai, 90 L,"8,571 ",1050 ,Ready to move
8731,DSP Properties,AGENT,1 BHK Apartment,Dudh Nakah,Mumbai, 40 L,"6,504 ",615 ,Under Construction
8732,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 48.5 L,"6,062 ",800 ,Ready to move
8733,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 35 L,"7,368 ",475 ,Ready to move
8734,DSP Properties,AGENT,3 BHK Apartment,Kalyan West,Mumbai, 79.99 L,"7,766 ",1030 ,Ready to move
8735,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 57 L,"7,972 ",715 ,Ready to move
8736,Prime property,AGENT,1 BHK Apartment,Thane West,Mumbai, 60 L,"10,000 ",600 ,Ready to move
8737,Prime property,AGENT,1 BHK Apartment,Thane West,Mumbai, 60 L,"9,375 ",640 ,Ready to move
8738,Prime property,AGENT,1 RK Studio Apartment,Thane West,Mumbai, 26.2 L,"8,086 ",324 ,Ready to move
8739,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 36.99 L,"6,323 ",585 ,Ready to move
8740,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 33 L,"5,641 ",585 ,Ready to move
8741,DSP Properties,AGENT,3 BHK Apartment,Kalyan West,Mumbai, 90 L,"8,571 ",1050 ,Ready to move
8742,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 45 L,"6,818 ",660 ,Ready to move
8743,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 70 L,"7,777 ",900 ,Ready to move
8744,Sqft Realto Mumbai,AGENT,1 BHK Apartment,Prabhadevi,Mumbai, 1.5 Cr,"30,612 ",490 ,Under Construction
8745,PropertyPistol Realty Pvt Ltd,AGENT,2 BHK Apartment,Panvel,Mumbai, 68 L,"7,391 ",920 ,Ready to move
8746,PropertyPistol Realty Pvt Ltd,AGENT,1 BHK Apartment,Thane West,Mumbai, 1.15 Cr,"17,113 ",672 ,Ready to move
8747,Aangan Property Consultant,AGENT,3 BHK Apartment,Kandivali East,Mumbai, 2.3 Cr,"18,239 ",1261 ,Ready to move
8748,Om Sai Siddhi Properties,AGENT,3 BHK Apartment,Dombivali,Mumbai, 82 L,"7,321 ",1120 ,Ready to move
8749,Om Sai Siddhi Properties,AGENT,3 BHK Apartment,Dombivali,Mumbai, 69 L,"6,284 ",1098 ,Ready to move
8750,Umang Realty,AGENT,1 BHK Apartment,Naigaon East,Mumbai, 37 L,"9,893 ",374 ,Under Construction
8751,Umang Realty,AGENT,1 BHK Apartment,Naigaon East,Mumbai, 37 L,"9,893 ",374 ,Under Construction
8752,Umang Realty,AGENT,2 BHK Apartment,Naigaon East,Mumbai, 47 L,"9,126 ",516 ,Under Construction
8753,Umang Realty,AGENT,2 BHK Apartment,Naigaon East,Mumbai, 47 L,"9,126 ",516 ,Under Construction
8754,Umang Realty,AGENT,1 BHK Apartment,Naigaon East,Mumbai, 37 L,"9,893 ",374 ,Under Construction
8755,Umang Realty,AGENT,2 BHK Apartment,Naigaon East,Mumbai, 47 L,"9,126 ",516 ,Under Construction
8756,Propline,AGENT,2 BHK Apartment,Bhayandar East,Mumbai, 90.49 L,"8,618 ",1050 ,Under Construction
8757,Propline,AGENT,1 BHK Apartment,Bhayandar East,Mumbai, 62 L,"8,378 ",740 ,Under Construction
8758,Umang Homes,AGENT,2 BHK Apartment,Seawoods,Mumbai, 2.5 Cr,"20,833 ",1200 ,Ready to move
8759,Umang Homes,AGENT,4 BHK Villa,Vashi,Mumbai, 2.6 Cr,"8,122 ",3201 ,Ready to move
8760,Umang Homes,AGENT,1 BHK Apartment,Vashi,Mumbai, 1 Cr,"14,285 ",700 ,Ready to move
8761,Umang Homes,AGENT,2 BHK Apartment,Vashi,Mumbai, 2.5 Cr,"27,777 ",900 ,Ready to move
8762,Umang Homes,AGENT,2 BHK Apartment,Nerul,Mumbai, 90 L,"12,857 ",700 ,Ready to move
8763,DSP Properties,AGENT,3 BHK Apartment,Kalyan West,Mumbai, 1.42 Cr,"8,606 ",1650 ,Ready to move
8764,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 50 L,"5,555 ",900 ,Ready to move
8765,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 51.5 L,"6,358 ",810 ,Ready to move
8766,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 67.31 L,"5,385 ",1250 ,Ready to move
8767,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 36.34 L,"5,383 ",675 ,Ready to move
8768,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 39 L,"6,190 ",630 ,Ready to move
8769,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 34.5 L,"5,897 ",585 ,Ready to move
8770,Aryan Properties,AGENT,4 BHK Independent Floor,Belapur,Mumbai, 6.5 Cr,"12,871 ",5050 ,Ready to move
8771,Property Market,AGENT,4 BHK Apartment,Mira Road East,Mumbai, 85.69 L,"7,971 ",1075 ,Ready to move
8772,H K homes,AGENT,4 BHK Apartment,Kharghar,Mumbai, 3.5 Cr,"17,500 ",2000 ,Ready to move
8773,Prime property,AGENT,2 BHK Apartment,Thane West,Mumbai, 61 L,"6,762 ",902 ,Ready to move
8774,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 36.99 L,"6,165 ",600 ,Ready to move
8775,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 36.99 L,"5,562 ",665 ,Ready to move
8776,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 51.97 L,"6,300 ",825 ,Ready to move
8777,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 44 L,"5,269 ",835 ,Ready to move
8778,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 38.5 L,"4,812 ",800 ,Under Construction
8779,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 40 L,"4,651 ",860 ,Under Construction
8780,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 33.75 L,"4,934 ",684 ,Ready to move
8781,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 28.5 L,"4,071 ",700 ,Under Construction
8782,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 43 L,"4,777 ",900 ,Under Construction
8783,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 43.5 L,"4,084 ",1065 ,Ready to move
8784,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 26 L,"3,880 ",670 ,Under Construction
8785,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 32.5 L,"4,304 ",755 ,Ready to move
8786,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 38.5 L,"4,139 ",930 ,Under Construction
8787,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 48 L,"4,528 ",1060 ,Ready to move
8788,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 30.5 L,"4,295 ",710 ,Under Construction
8789,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 46.5 L,"4,266 ",1090 ,Ready to move
8790,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 29 L,"4,142 ",700 ,Ready to move
8791,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 28 L,"4,516 ",620 ,Ready to move
8792,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 38.6 L,"4,361 ",885 ,Ready to move
8793,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 26.6 L,"4,092 ",650 ,Ready to move
8794,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 35.4 L,"5,130 ",690 ,Ready to move
8795,anand pandey,AGENT,2 BHK Apartment,Titwala,Mumbai, 38.7 L,"4,372 ",885 ,Ready to move
8796,anand pandey,AGENT,1 BHK Apartment,Titwala,Mumbai, 26.65 L,"4,100 ",650 ,Ready to move
8797,anand pandey,AGENT,2 BHK Apartment,Powai,Mumbai, 31 L,"4,133 ",750 ,Ready to move
8798,PropertyPistol Realty Pvt Ltd,AGENT,2 BHK Apartment,Kharghar,Mumbai, 90 L,"9,782 ",920 ,Ready to move
8799,Om Properties,AGENT,2 BHK Apartment,Kalwa,Mumbai, 75 L,"10,000 ",750 ,Ready to move
8800,Shree mahalakshmi estate agency,AGENT,1 BHK Apartment,Dombivali,Mumbai, 62 L,"9,064 ",684 ,Under Construction
8801,Rajat Bagaria,AGENT,1 BHK Apartment,Panvel,Mumbai, 60 L,"8,130 ",738 ,Under Construction
8802,Siddhivinayak Estate Consultancy,AGENT,1 BHK Apartment,Sion,Mumbai, 95 L,"12,666 ",750 ,Under Construction
8803,Umang Realty,AGENT,1 BHK Apartment,Vasai,Mumbai, 27 L,"10,188 ",265 ,Under Construction
8804,Umang Realty,AGENT,1 BHK Apartment,Vasai,Mumbai, 27 L,"10,188 ",265 ,Under Construction
8805,Umang Realty,AGENT,1 BHK Apartment,Vasai,Mumbai, 41 L,"9,761 ",420 ,Under Construction
8806,Umang Realty,AGENT,1 BHK Apartment,Vasai,Mumbai, 41 L,"9,761 ",420 ,Under Construction
8807,Umang Realty,AGENT,1 BHK Apartment,Vasai,Mumbai, 27 L,"10,188 ",265 ,Under Construction
8808,Umang Realty,AGENT,1 BHK Apartment,Vasai,Mumbai, 27 L,"10,188 ",265 ,Under Construction
8809,Umang Realty,AGENT,1 BHK Apartment,Vasai,Mumbai, 41 L,"9,761 ",420 ,Under Construction
8810,Umang Realty,AGENT,1 BHK Apartment,Vasai,Mumbai, 41 L,"9,761 ",420 ,Under Construction
8811,Om Sai Siddhi Properties,AGENT,2 BHK Apartment,Dombivali,Mumbai, 49 L,"7,142 ",686 ,Ready to move
8812,H K homes,AGENT,1 BHK Apartment,Taloja,Mumbai, 40 L,"6,230 ",642 ,Ready to move
8813,JP Associates,AGENT,2 BHK Apartment,Mira Road East,Mumbai, 77 L,"10,185 ",756 ,Ready to move
8814,JP Associates,AGENT,4 BHK Apartment,Mira Road East,Mumbai, 98.77 L,"8,922 ",1107 ,Ready to move
8815,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 57.08 L,"5,384 ",1060 ,Ready to move
8816,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 75 L,"8,241 ",910 ,Ready to move
8817,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 54.5 L,"6,855 ",795 ,Ready to move
8818,swapnali,AGENT,3 BHK Apartment,Byculla,Mumbai, 4.81 Cr,"37,000 ",1300 ,Under Construction
8819,swapnali,AGENT,3 BHK Apartment,Byculla,Mumbai, 4.81 Cr,"37,000 ",1300 ,Under Construction
8820,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 3.16 Cr,"38,962 ",812 ,Under Construction
8821,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 2.5 Cr,"38,962 ",644 ,Under Construction
8822,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 2.5 Cr,"38,962 ",644 ,Under Construction
8823,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 3.19 Cr,"38,962 ",821 ,Under Construction
8824,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 3.19 Cr,"38,962 ",821 ,Under Construction
8825,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 2.4 Cr,"38,962 ",616 ,Under Construction
8826,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 2.4 Cr,"38,962 ",616 ,Under Construction
8827,Property Market,AGENT,2 BHK Apartment,Mira Road East,Mumbai, 93.45 L,"8,613 ",1085 ,Under Construction
8828,Property Market,AGENT,4 BHK Apartment,Mira Road East,Mumbai, 93.45 L,"8,613 ",1085 ,Ready to move
8829,Property Market,AGENT,2 BHK Apartment,Mira Road East,Mumbai, 64.75 L,"8,932 ",725 ,Ready to move
8830,Property Market,AGENT,1 BHK Apartment,Mira Road East,Mumbai, 65.89 L,"9,216 ",715 ,Under Construction
8831,Hitech Realty Consultancy,AGENT,1 BHK Apartment,Kharghar,Mumbai, 55 L,"7,746 ",710 ,Ready to move
8832,Hitech Realty Consultancy,AGENT,2 BHK Apartment,Kalamboli,Mumbai, 96 L,"8,428 ",1139 ,Ready to move
8833,Unorex,AGENT,3 BHK Apartment,Dombivali,Mumbai, 1.22 Cr,"6,019 ",2029 ,Under Construction
8834,Unorex,AGENT,2 BHK Apartment,Dombivali,Mumbai, 71.49 L,"5,840 ",1224 ,Under Construction
8835,Unorex,AGENT,1 BHK Apartment,Dombivali,Mumbai, 46.25 L,"6,045 ",765 ,Under Construction
8836,Aangan Property Consultant,AGENT,3 BHK Apartment,Kandivali East,Mumbai, 1.75 Cr,"13,944 ",1255 ,Ready to move
8837,Aangan Property Consultant,AGENT,1 BHK Apartment,Kandivali East,Mumbai, 95 L,"18,095 ",525 ,Ready to move
8838,Om Properties,AGENT,2 BHK Apartment,Anjurdive,Mumbai, 72 L,"11,428 ",630 ,Ready to move
8839,Prime property,AGENT,3 BHK Apartment,Thane West,Mumbai, 73 L,"6,606 ",1105 ,Ready to move
8840,Prime property,AGENT,3 BHK Apartment,Thane West,Mumbai, 73 L,"6,606 ",1105 ,Ready to move
8841,Prime property,AGENT,1 BHK Apartment,Thane West,Mumbai, 41.99 L,"6,719 ",625 ,Ready to move
8842,DSP Properties,AGENT,2 BHK Apartment,Kalyan West,Mumbai, 85 L,"8,500 ",1000 ,Under Construction
8843,swapnali,AGENT,2 BHK Apartment,Parel,Mumbai, 3.3 Cr,"39,952 ",826 ,Under Construction
8844,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.78 Cr,"42,276 ",1133 ,Under Construction
8845,swapnali,AGENT,2 BHK Apartment,Parel,Mumbai, 3.3 Cr,"39,952 ",826 ,Under Construction
8846,swapnali,AGENT,2 BHK Apartment,Parel,Mumbai, 3.3 Cr,"39,952 ",826 ,Under Construction
8847,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.78 Cr,"42,276 ",1133 ,Under Construction
8848,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.78 Cr,"42,276 ",1133 ,Under Construction
8849,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.91 Cr,"47,166 ",1042 ,Ready to move
8850,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.91 Cr,"47,166 ",1042 ,Ready to move
8851,swapnali,AGENT,3 BHK Apartment,Byculla,Mumbai, 3.3 Cr,"34,628 ",953 ,Under Construction
8852,swapnali,AGENT,3 BHK Apartment,Byculla,Mumbai, 3.3 Cr,"34,628 ",953 ,Under Construction
8853,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.91 Cr,"47,166 ",1042 ,Ready to move
8854,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.91 Cr,"47,166 ",1042 ,Ready to move
8855,swapnali,AGENT,3 BHK Apartment,Byculla,Mumbai, 3.3 Cr,"34,628 ",953 ,Under Construction
8856,swapnali,AGENT,3 BHK Apartment,Byculla,Mumbai, 3.3 Cr,"34,628 ",953 ,Under Construction
8857,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.91 Cr,"48,043 ",1022 ,Ready to move
8858,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 4.91 Cr,"48,043 ",1022 ,Ready to move
8859,swapnali,AGENT,2 BHK Apartment,Byculla,Mumbai, 2.5 Cr,"34,531 ",724 ,Under Construction
8860,swapnali,AGENT,2 BHK Apartment,Byculla,Mumbai, 2.5 Cr,"34,531 ",724 ,Under Construction
8861,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 7.59 Cr,"62,935 ",1206 ,Ready to move
8862,swapnali,AGENT,3 BHK Apartment,Parel,Mumbai, 7.59 Cr,"62,935 ",1206 ,Ready to move
8863,swapnali,AGENT,2 BHK Apartment,Parel,Mumbai, 3.61 Cr,"45,812 ",789 ,Ready to move
8864,swapnali,AGENT,2 BHK Apartment,Parel,Mumbai, 3.61 Cr,"45,812 ",789 ,Ready to move
8865,swapnali,AGENT,4 BHK Apartment,Parel,Mumbai, 9.91 Cr,"57,250 ",1732 ,Ready to move
8866,swapnali,AGENT,1 BHK Apartment,Byculla,Mumbai, 1.39 Cr,"32,783 ",424 ,Under Construction
8867,swapnali,AGENT,4 BHK Apartment,Parel,Mumbai, 9.91 Cr,"57,250 ",1732 ,Ready to move
8868,swapnali,AGENT,1 BHK Apartment,Byculla,Mumbai, 1.39 Cr,"32,783 ",424 ,Under Construction
8869,swapnali,AGENT,1 BHK Apartment,Byculla,Mumbai, 1.39 Cr,"32,783 ",424 ,Under Construction
8870,swapnali,AGENT,1 BHK Apartment,Byculla,Mumbai, 1.39 Cr,"32,783 ",424 ,Under Construction
8871,swapnali,AGENT,2 BHK Apartment,Byculla,Mumbai, 3.55 Cr,"37,000 ",961 ,Under Construction
8872,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 2.91 Cr,"38,962 ",747 ,Under Construction
8873,swapnali,AGENT,2 BHK Apartment,Byculla,Mumbai, 3.55 Cr,"37,000 ",961 ,Under Construction
8874,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 2.91 Cr,"38,962 ",747 ,Under Construction
8875,swapnali,AGENT,2 BHK Apartment,Byculla,Mumbai, 2.1 Cr,"33,070 ",635 ,Under Construction
8876,swapnali,AGENT,2 BHK Apartment,Byculla,Mumbai, 2.1 Cr,"33,070 ",635 ,Under Construction
8877,swapnali,AGENT,2 BHK Apartment,Byculla,Mumbai, 3.55 Cr,"37,000 ",961 ,Under Construction
8878,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 2.91 Cr,"38,962 ",747 ,Under Construction
8879,swapnali,AGENT,2 BHK Apartment,Byculla,Mumbai, 3.55 Cr,"37,000 ",961 ,Under Construction
8880,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 2.91 Cr,"38,962 ",747 ,Under Construction
8881,swapnali,AGENT,4 BHK Apartment,Byculla,Mumbai, 9.25 Cr,"37,000 ",2500 ,Under Construction
8882,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 3.04 Cr,"38,962 ",781 ,Under Construction
8883,swapnali,AGENT,4 BHK Apartment,Byculla,Mumbai, 9.25 Cr,"37,000 ",2500 ,Under Construction
8884,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 3.04 Cr,"38,962 ",781 ,Under Construction
8885,swapnali,AGENT,2 BHK Apartment,Sewri,Mumbai, 3.16 Cr,"38,962 ",812 ,Under Construction
8886,PropertyPistol Realty Pvt Ltd,AGENT,1 BHK Apartment,Ulwe,Mumbai, 50 L,"7,352 ",680 ,Ready to move
8887,PropertyPistol Realty Pvt Ltd,AGENT,1 BHK Apartment,Ulwe,Mumbai, 40 L,"6,349 ",630 ,Ready to move
8888,PropertyPistol Realty Pvt Ltd,AGENT,3 BHK Apartment,Kharghar,Mumbai, 2.25 Cr,"12,704 ",1771 ,Ready to move
8889,Property Market,AGENT,2 BHK Apartment,Mira Road East,Mumbai, 89.85 L,"8,281 ",1085 ,Under Construction
8890,Bhoomi Realty,AGENT,2 BHK Apartment,Kalwa,Mumbai, 95 L,"9,743 ",975 ,Ready to move
8891,H K homes,AGENT,1 BHK Apartment,Ulwe,Mumbai, 39 L,"11,142 ",350 ,Ready to move
8892,H K homes,AGENT,1 BHK Apartment,Kharghar,Mumbai, 51 L,"6,455 ",790 ,Ready to move
8893,Carpet Area Real Estate,AGENT,1 BHK Apartment,Borivali East,Mumbai, 92 L,"13,731 ",670 ,Ready to move
8894,H K homes,AGENT,1 BHK Apartment,Taloja,Mumbai, 31 L,"4,960 ",625 ,Ready to move
8895,Om Sai Siddhi Properties,AGENT,1 BHK Apartment,Dombivali,Mumbai, 34 L,"5,230 ",650 ,Ready to move
8896,Om Sai Siddhi Properties,AGENT,2 BHK Apartment,Dombivali,Mumbai, 43.4 L,"5,809 ",747 ,Ready to move
8897,Om Sai Siddhi Properties,AGENT,3 BHK Apartment,Dombivali,Mumbai, 69 L,"6,284 ",1098 ,Ready to move
8898,DSP Properties,AGENT,1 BHK Apartment,Kalyan West,Mumbai, 37 L,"6,166 ",600 ,Ready to move
8899,Sqft Realto Mumbai,AGENT,1 BHK Apartment,Lower Parel,Mumbai, 1.75 Cr,"29,166 ",600 ,Under Construction
8900,Sqft Realto Mumbai,AGENT,1 BHK Apartment,Lower Parel,Mumbai, 1.75 Cr,"29,166 ",600 ,Under Construction
8901,Property Market,AGENT,4 BHK Apartment,Mira Road East,Mumbai, 93.75 L,"8,641 ",1085 ,Ready to move
8902,Arc India Property,AGENT,3 BHK Apartment,Kamothe,Mumbai, 1.3 Cr,"8,125 ",1600 ,Ready to move
8903,Om Properties,AGENT,1 BHK Apartment,Bhiwandi,Mumbai, 43 L,"5,733 ",750 ,Under Construction
8904,Trishul property,AGENT,3 BHK Apartment,Santacruz East,Mumbai, 3 Cr,"27,272 ",1100 ,Ready to move
8905,Trishul property,AGENT,1 BHK Apartment,Santacruz East,Mumbai, 1.07 Cr,"16,461 ",650 ,Ready to move
8906,Trishul property,AGENT,3 BHK Apartment,Santacruz East,Mumbai, 3.1 Cr,"23,846 ",1300 ,Ready to move
8907,Trishul property,AGENT,1 BHK Apartment,Santacruz East,Mumbai, 1.22 Cr,"22,181 ",550 ,Under Construction
8908,Trishul property,AGENT,2 BHK Apartment,Santacruz East,Mumbai, 1.6 Cr,"22,857 ",700 ,Under Construction
8909,Trishul property,AGENT,2 BHK Apartment,Santacruz East,Mumbai, 2.3 Cr,"20,000 ",1150 ,Ready to move
8910,Trishul property,AGENT,3 BHK Apartment,Santacruz East,Mumbai, 3.3 Cr,"27,522 ",1199 ,Ready to move
8911,Trishul property,AGENT,1 BHK Apartment,Santacruz East,Mumbai, 1.3 Cr,"17,333 ",750 ,Ready to move
8912,Trishul property,AGENT,1 BHK Apartment,Santacruz East,Mumbai, 1.4 Cr,"20,000 ",700 ,Ready to move
8913,Trishul property,AGENT,1 BHK Apartment,Santacruz East,Mumbai, 1.35 Cr,"22,500 ",600 ,Ready to move
8914,Trishul property,AGENT,1 RK Studio Apartment,Santacruz East,Mumbai, 65 L,"18,571 ",350 ,Ready to move
